p: 0.000000 0.000000 -5.000000
co->n: 0.000000 1.000000 0.000000
ph: -0.259846 0.201417 1.594732, result: 0.201417
ph: -0.249401 0.205370 1.594088, result: 0.205370
ph: -0.238851 0.209206 1.593464, result: 0.209206
ph: -0.228190 0.212920 1.592860, result: 0.212920
ph: -0.217413 0.216507 1.592276, result: 0.216507
ph: -0.206516 0.219964 1.591713, result: 0.219964
ph: -0.195494 0.223285 1.591173, result: 0.223285
ph: -0.184339 0.226466 1.590655, result: 0.226466
ph: -0.173047 0.229499 1.590161, result: 0.229499
ph: -0.161609 0.232380 1.589692, result: 0.232380
ph: -0.150020 0.235102 1.589249, result: 0.235102
ph: -0.138271 0.237658 1.588833, result: 0.237658
ph: -0.643757 0.006567 1.603888, result: 0.006567
ph: -0.635588 0.013635 1.602754, result: 0.013635
ph: -0.627394 0.020654 1.601627, result: 0.020654
ph: -0.619175 0.027624 1.600509, result: 0.027624
ph: -0.610929 0.034545 1.599398, result: 0.034545
ph: -0.602656 0.041414 1.598296, result: 0.041414
ph: -0.594355 0.048233 1.597201, result: 0.048233
ph: -0.586025 0.054999 1.596115, result: 0.054999
ph: -0.577666 0.061713 1.595038, result: 0.061713
ph: -0.569275 0.068374 1.593969, result: 0.068374
ph: -0.560853 0.074981 1.592908, result: 0.074981
ph: -0.552398 0.081532 1.591857, result: 0.081532
ph: -0.543909 0.088028 1.590814, result: 0.088028
ph: -0.535385 0.094467 1.589781, result: 0.094467
ph: -0.526826 0.100849 1.588757, result: 0.100849
ph: -0.518229 0.107172 1.587742, result: 0.107172
ph: -0.509593 0.113435 1.586737, result: 0.113435
ph: -0.500919 0.119639 1.585741, result: 0.119639
ph: -0.492203 0.125780 1.584755, result: 0.125780
ph: -0.483445 0.131859 1.583780, result: 0.131859
ph: -0.474644 0.137874 1.582814, result: 0.137874
ph: -0.465797 0.143825 1.581859, result: 0.143825
ph: -0.456904 0.149709 1.580915, result: 0.149709
ph: -0.447963 0.155525 1.579981, result: 0.155525
ph: -0.438972 0.161273 1.579059, result: 0.161273
ph: -0.429930 0.166950 1.578148, result: 0.166950
ph: -0.420834 0.172556 1.577248, result: 0.172556
ph: -0.411684 0.178088 1.576360, result: 0.178088
ph: -0.402477 0.183546 1.575484, result: 0.183546
ph: -0.393211 0.188926 1.574621, result: 0.188926
ph: -0.383883 0.194229 1.573770, result: 0.194229
ph: -0.374493 0.199451 1.572932, result: 0.199451
ph: -0.365037 0.204590 1.572107, result: 0.204590
ph: -0.355514 0.209646 1.571295, result: 0.209646
ph: -0.345920 0.214614 1.570498, result: 0.214614
ph: -0.336253 0.219495 1.569715, result: 0.219495
ph: -0.326510 0.224284 1.568946, result: 0.224284
ph: -0.316689 0.228979 1.568193, result: 0.228979
ph: -0.306786 0.233578 1.567454, result: 0.233578
ph: -0.296798 0.238077 1.566732, result: 0.238077
ph: -0.286721 0.242475 1.566026, result: 0.242475
ph: -0.276553 0.246767 1.565338, result: 0.246767
ph: -0.266289 0.250951 1.564666, result: 0.250951
ph: -0.255925 0.255023 1.564013, result: 0.255023
ph: -0.245458 0.258979 1.563378, result: 0.258979
ph: -0.234881 0.262815 1.562762, result: 0.262815
ph: -0.224192 0.266527 1.562166, result: 0.266527
