p: 0.000000 0.000000 -5.000000
co->n: 0.000000 1.000000 0.000000
ph: -0.092277 -1.975832 2.871316, result: -1.975832
ph: -0.079965 -1.975609 2.871556, result: -1.975609
ph: -0.067656 -1.975418 2.871762, result: -1.975418
ph: -0.055350 -1.975259 2.871934, result: -1.975259
ph: -0.043047 -1.975131 2.872071, result: -1.975131
ph: -0.030747 -1.975036 2.872174, result: -1.975036
ph: -0.018447 -1.974972 2.872242, result: -1.974972
ph: -0.006149 -1.974940 2.872277, result: -1.974940
ph: 0.006149 -1.974940 2.872277, result: -1.974940
ph: 0.018447 -1.974972 2.872242, result: -1.974972
ph: 0.030747 -1.975036 2.872174, result: -1.975036
ph: 0.043047 -1.975131 2.872071, result: -1.975131
ph: 0.055350 -1.975259 2.871934, result: -1.975259
ph: 0.067656 -1.975418 2.871762, result: -1.975418
ph: 0.079965 -1.975609 2.871556, result: -1.975609
ph: 0.092277 -1.975832 2.871316, result: -1.975832
ph: 0.104594 -1.976087 2.871041, result: -1.976087
ph: 0.116917 -1.976375 2.870731, result: -1.976375
ph: 0.129245 -1.976694 2.870387, result: -1.976694
ph: 0.141579 -1.977046 2.870009, result: -1.977046
ph: 0.153920 -1.977429 2.869595, result: -1.977429
ph: 0.166268 -1.977846 2.869147, result: -1.977846
ph: 0.178625 -1.978294 2.868664, result: -1.978294
ph: 0.190990 -1.978775 2.868145, result: -1.978775
ph: 0.203365 -1.979289 2.867592, result: -1.979289
ph: 0.215750 -1.979835 2.867003, result: -1.979835
ph: 0.228145 -1.980415 2.866379, result: -1.980415
ph: 0.240552 -1.981027 2.865719, result: -1.981027
ph: 0.252970 -1.981673 2.865024, result: -1.981673
ph: 0.265401 -1.982351 2.864292, result: -1.982351
ph: 0.277845 -1.983064 2.863525, result: -1.983064
ph: 0.290303 -1.983809 2.862722, result: -1.983809
ph: 0.302775 -1.984589 2.861882, result: -1.984589
ph: 0.315262 -1.985402 2.861006, result: -1.985402
ph: 0.327765 -1.986249 2.860093, result: -1.986249
ph: 0.340285 -1.987131 2.859143, result: -1.987131
ph: 0.352821 -1.988047 2.858156, result: -1.988047
ph: 0.365376 -1.988998 2.857132, result: -1.988998
ph: 0.377949 -1.989984 2.856070, result: -1.989984
ph: 0.390541 -1.991004 2.854970, result: -1.991004
ph: 0.403152 -1.992061 2.853832, result: -1.992061
ph: 0.415785 -1.993152 2.852656, result: -1.993152
ph: 0.428439 -1.994280 2.851441, result: -1.994280
ph: 0.441114 -1.995443 2.850188, result: -1.995443
ph: 0.453813 -1.996643 2.848895, result: -1.996643
ph: 0.466535 -1.997880 2.847563, result: -1.997880
ph: 0.479281 -1.999153 2.846191, result: -1.999153
ph: -0.557580 -1.999628 2.832172, result: -1.999628
ph: -0.544640 -1.998123 2.833804, result: -1.998123
ph: -0.531729 -1.996657 2.835394, result: -1.996657
ph: -0.518846 -1.995229 2.836941, result: -1.995229
ph: -0.505991 -1.993840 2.838448, result: -1.993840
ph: -0.493163 -1.992488 2.839913, result: -1.992488
ph: -0.480361 -1.991175 2.841337, result: -1.991175
ph: -0.467584 -1.989898 2.842721, result: -1.989898
ph: -0.454832 -1.988659 2.844064, result: -1.988659
ph: -0.442103 -1.987456 2.845368, result: -1.987456
ph: -0.429397 -1.986290 2.846632, result: -1.986290
ph: -0.416714 -1.985160 2.847857, result: -1.985160
ph: -0.404052 -1.984066 2.849043, result: -1.984066
ph: -0.391411 -1.983008 2.850191, result: -1.983008
ph: -0.378789 -1.981985 2.851300, result: -1.981985
ph: -0.366188 -1.980997 2.852371, result: -1.980997
ph: -0.353604 -1.980044 2.853403, result: -1.980044
ph: -0.341039 -1.979126 2.854399, result: -1.979126
ph: -0.328491 -1.978243 2.855357, result: -1.978243
ph: -0.315959 -1.977394 2.856277, result: -1.977394
ph: -0.303444 -1.976579 2.857161, result: -1.976579
ph: -0.290943 -1.975798 2.858007, result: -1.975798
ph: -0.278457 -1.975050 2.858817, result: -1.975050
ph: -0.265985 -1.974337 2.859591, result: -1.974337
ph: -0.253526 -1.973657 2.860328, result: -1.973657
ph: -0.241080 -1.973010 2.861029, result: -1.973010
ph: -0.228646 -1.972396 2.861695, result: -1.972396
ph: -0.216223 -1.971816 2.862324, result: -1.971816
ph: -0.203811 -1.971268 2.862918, result: -1.971268
ph: -0.191409 -1.970754 2.863476, result: -1.970754
ph: -0.179016 -1.970272 2.863998, result: -1.970272
ph: -0.166632 -1.969822 2.864486, result: -1.969822
ph: -0.154256 -1.969405 2.864938, result: -1.969405
ph: -0.141888 -1.969021 2.865354, result: -1.969021
ph: -0.129527 -1.968668 2.865736, result: -1.968668
ph: -0.117172 -1.968348 2.866083, result: -1.968348
ph: -0.104823 -1.968061 2.866395, result: -1.968061
ph: -0.092479 -1.967805 2.866672, result: -1.967805
ph: -0.080139 -1.967581 2.866915, result: -1.967581
ph: -0.067803 -1.967390 2.867122, result: -1.967390
ph: -0.055471 -1.967230 2.867295, result: -1.967230
ph: -0.043141 -1.967103 2.867434, result: -1.967103
ph: -0.030814 -1.967007 2.867537, result: -1.967007
ph: -0.018488 -1.966943 2.867606, result: -1.966943
ph: -0.006162 -1.966911 2.867641, result: -1.966911
ph: 0.006162 -1.966911 2.867641, result: -1.966911
ph: 0.018488 -1.966943 2.867606, result: -1.966943
ph: 0.030814 -1.967007 2.867537, result: -1.967007
ph: 0.043141 -1.967103 2.867434, result: -1.967103
ph: 0.055471 -1.967230 2.867295, result: -1.967230
ph: 0.067803 -1.967390 2.867122, result: -1.967390
ph: 0.080139 -1.967581 2.866915, result: -1.967581
ph: 0.092479 -1.967805 2.866672, result: -1.967805
ph: 0.104823 -1.968061 2.866395, result: -1.968061
ph: 0.117172 -1.968348 2.866083, result: -1.968348
ph: 0.129527 -1.968668 2.865736, result: -1.968668
ph: 0.141888 -1.969021 2.865354, result: -1.969021
ph: 0.154256 -1.969405 2.864938, result: -1.969405
ph: 0.166632 -1.969822 2.864486, result: -1.969822
ph: 0.179016 -1.970272 2.863998, result: -1.970272
ph: 0.191409 -1.970754 2.863476, result: -1.970754
ph: 0.203811 -1.971268 2.862918, result: -1.971268
ph: 0.216223 -1.971816 2.862324, result: -1.971816
ph: 0.228646 -1.972396 2.861695, result: -1.972396
ph: 0.241080 -1.973010 2.861029, result: -1.973010
ph: 0.253526 -1.973657 2.860328, result: -1.973657
ph: 0.265985 -1.974337 2.859591, result: -1.974337
ph: 0.278457 -1.975050 2.858817, result: -1.975050
ph: 0.290943 -1.975798 2.858007, result: -1.975798
ph: 0.303444 -1.976579 2.857161, result: -1.976579
ph: 0.315959 -1.977394 2.856277, result: -1.977394
ph: 0.328491 -1.978243 2.855357, result: -1.978243
ph: 0.341039 -1.979126 2.854399, result: -1.979126
ph: 0.353604 -1.980044 2.853403, result: -1.980044
ph: 0.366188 -1.980997 2.852371, result: -1.980997
ph: 0.378789 -1.981985 2.851300, result: -1.981985
ph: 0.391411 -1.983008 2.850191, result: -1.983008
ph: 0.404052 -1.984066 2.849043, result: -1.984066
ph: 0.416714 -1.985160 2.847857, result: -1.985160
ph: 0.429397 -1.986290 2.846632, result: -1.986290
ph: 0.442103 -1.987456 2.845368, result: -1.987456
ph: 0.454832 -1.988659 2.844064, result: -1.988659
ph: 0.467584 -1.989898 2.842721, result: -1.989898
ph: 0.480361 -1.991175 2.841337, result: -1.991175
ph: 0.493163 -1.992488 2.839913, result: -1.992488
ph: 0.505991 -1.993840 2.838448, result: -1.993840
ph: 0.518846 -1.995229 2.836941, result: -1.995229
ph: 0.531729 -1.996657 2.835394, result: -1.996657
ph: 0.544640 -1.998123 2.833804, result: -1.998123
ph: 0.557580 -1.999628 2.832172, result: -1.999628
ph: -0.624189 -1.999779 2.818330, result: -1.999779
ph: -0.611056 -1.998069 2.820196, result: -1.998069
ph: -0.597957 -1.996399 2.822018, result: -1.996399
ph: -0.584891 -1.994771 2.823794, result: -1.994771
ph: -0.571857 -1.993183 2.825527, result: -1.993183
ph: -0.558854 -1.991634 2.827216, result: -1.991634
ph: -0.545882 -1.990125 2.828862, result: -1.990125
ph: -0.532939 -1.988655 2.830466, result: -1.988655
ph: -0.520025 -1.987225 2.832027, result: -1.987225
ph: -0.507139 -1.985832 2.833546, result: -1.985832
ph: -0.494279 -1.984478 2.835024, result: -1.984478
ph: -0.481446 -1.983161 2.836460, result: -1.983161
ph: -0.468639 -1.981882 2.837856, result: -1.981882
ph: -0.455856 -1.980640 2.839211, result: -1.980640
ph: -0.443097 -1.979434 2.840526, result: -1.979434
ph: -0.430361 -1.978266 2.841801, result: -1.978266
ph: -0.417647 -1.977133 2.843036, result: -1.977133
ph: -0.404956 -1.976037 2.844232, result: -1.976037
ph: -0.392285 -1.974976 2.845390, result: -1.974976
ph: -0.379634 -1.973951 2.846508, result: -1.973951
ph: -0.367003 -1.972961 2.847588, result: -1.972961
ph: -0.354391 -1.972006 2.848629, result: -1.972006
ph: -0.341796 -1.971086 2.849633, result: -1.971086
ph: -0.329219 -1.970201 2.850599, result: -1.970201
ph: -0.316659 -1.969350 2.851527, result: -1.969350
ph: -0.304115 -1.968533 2.852418, result: -1.968533
ph: -0.291586 -1.967751 2.853272, result: -1.967751
ph: -0.279072 -1.967002 2.854089, result: -1.967002
ph: -0.266572 -1.966287 2.854869, result: -1.966287
ph: -0.254085 -1.965606 2.855612, result: -1.965606
ph: -0.241611 -1.964958 2.856319, result: -1.964958
ph: -0.229149 -1.964343 2.856990, result: -1.964343
ph: -0.216698 -1.963761 2.857624, result: -1.963761
ph: -0.204259 -1.963213 2.858223, result: -1.963213
